,school_name,address,postal_code,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,sch_lat,sch_lon,dist_centre,type_primary,type_secondary,type_juniorcollege,type_polytechnic,type_university
33,TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,ANG MO KIO,SOUTH,SOUTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3655878,103.8509571,9.0863,1,0,0,0,0
34,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3177068,103.9455907,11.1182,1,0,0,0,0
35,SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4324094,103.7860351,18.0516,1,0,0,0,0
36,JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,ANG MO KIO,SOUTH,SOUTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3722329,103.8521322,9.8255,1,0,0,0,0
37,YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,YISHUN,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.433386,103.8340871,16.7397,1,0,0,0,0
38,STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,CENTRAL,SOUTH,SOUTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3034564,103.8574535,2.2738,1,0,0,0,0
39,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE,797701,SENG KANG,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3903023,103.8744455,12.107,1,0,0,0,0
40,TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,ANG MO KIO,SOUTH,SOUTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3600326,103.853826,8.4722,1,0,0,0,0
41,RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,JURONG WEST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,No,No,No,No,1.3467387,103.718458,16.3623,1,0,0,0,0
42,QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,CLEMENTI,WEST,WEST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3132515,103.7567432,11.0313,1,0,0,0,0
43,ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA,169485,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2842115,103.8259519,2.8412,1,0,0,0,0
44,TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,TAMPINES,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3497787,103.9440047,12.6297,1,0,0,0,0
45,CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3507074,103.9513995,13.3651,1,0,0,0,0
46,XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,HOUGANG,SOUTH,SOUTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3579089,103.890465,9.3027,1,0,0,0,0
47,JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4276862,103.8304279,16.1641,1,0,0,0,0
48,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4304799,103.7781929,18.2283,1,0,0,0,0
49,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,BUKIT BATOK,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3458605,103.753666,12.8785,1,0,0,0,0
50,CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,TOA PAYOH,SOUTH,SOUTH 6,GOVERNMENT SCHOOL,,,PRIMARY,No,No,No,No,1.3355884,103.8756208,6.3442,1,0,0,0,0
51,OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,BEDOK,EAST,EAST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3193191,103.9237883,8.952,1,0,0,0,0
52,RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,CENTRAL,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2942233,103.8358152,2.0882,1,0,0,0,0
53,TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,BEDOK,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3310459,103.910934,8.4368,1,0,0,0,0
54,YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3512918,103.9504619,13.3151,1,0,0,0,0
55,SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,JURONG WEST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3476531,103.7215237,16.0993,1,0,0,0,0
56,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2855952,103.8155474,4.0024,1,0,0,0,0
57,GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3572372,103.9491161,13.5783,1,0,0,0,0
58,HUAMIN PRIMARY SCHOOL,530 YISHUN RING ROAD,768680,YISHUN,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4269728,103.8442402,15.9344,1,0,0,0,0
59,XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4334719,103.8377553,16.7069,1,0,0,0,0
